method,dataset,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy,precision,recall,f1_score
Haar Cascade,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,1,1,1,2.453716516494751,0.0,0.0,0.0,0
Haar Cascade,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,1,1,1,0.41482067108154297,0.0,0.0,0.0,0
Haar Cascade,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,1,0,0,2.4864614009857178,1.0,1.0,1.0,1.0
Haar Cascade,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,0,0,1,2.5757548809051514,0.0,0,0.0,0
Haar Cascade,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,1,1,1,2.483447790145874,0.0,0.0,0.0,0
Haar Cascade,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,0,0,1,2.9014101028442383,0.0,0,0.0,0
Haar Cascade,seccam,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,2.9238979816436768,0.0,0,0.0,0
Haar Cascade,seccam,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,0,0,1,3.8018336296081543,0.0,0,0.0,0
Haar Cascade,seccam,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,0,0,1,3.6080739498138428,0.0,0,0.0,0
Haar Cascade,seccam,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,1,1,1,0.5332462787628174,0.0,0.0,0.0,0
Haar Cascade,seccam,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,0,0,1,3.443042516708374,0.0,0,0.0,0
Haar Cascade,seccam,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,0,0,1,2.684124231338501,0.0,0,0.0,0
Haar Cascade,seccam,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,0,0,1,2.6907365322113037,0.0,0,0.0,0
Haar Cascade,seccam,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,0,0,1,2.994677782058716,0.0,0,0.0,0
Haar Cascade,seccam,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,0,0,1,3.008392333984375,0.0,0,0.0,0
Haar Cascade,seccam,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,3.679356813430786,0.0,0,0.0,0
Haar Cascade,seccam,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,3.6550850868225098,0.0,0,0.0,0
Haar Cascade,seccam,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,0,0,1,3.3997738361358643,0.0,0,0.0,0
Haar Cascade,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,0,0,1,3.264244318008423,0.0,0,0.0,0
Haar Cascade,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,0,0,1,2.440166473388672,0.0,0,0.0,0
Haar Cascade,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,0,0,1,2.4788098335266113,0.0,0,0.0,0
Haar Cascade,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,2.759336471557617,0.0,0,0.0,0
Haar Cascade,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,0.6899938583374023,0.0,0,0.0,0
Haar Cascade,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,3.176833391189575,0.0,0,0.0,0
Haar Cascade,seccam,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,0,0,1,3.2766432762145996,0.0,0,0.0,0
Haar Cascade,seccam,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,0,0,1,3.1769282817840576,0.0,0,0.0,0
Haar Cascade,seccam,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,1,1,1,0.34906005859375,0.0,0.0,0.0,0
Haar Cascade,seccam,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,1,1,1,1.9430830478668213,0.0,0.0,0.0,0
Haar Cascade,seccam,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,1,1,1,1.9192469120025635,0.0,0.0,0.0,0
Haar Cascade,seccam,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,1,1,1,1.9336209297180176,0.0,0.0,0.0,0
Dlib HOG,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,0.9486434459686279,0.0,0,0.0,0
Dlib HOG,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,0,0,1,0.9856786727905273,0.0,0,0.0,0
Dlib HOG,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,1,0,0,1.0806884765625,1.0,1.0,1.0,1.0
Dlib HOG,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,1,1,1,1.0499789714813232,0.0,0.0,0.0,0
Dlib HOG,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,0,0,1,1.069990873336792,0.0,0,0.0,0
Dlib HOG,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,0,0,1,1.0469715595245361,0.0,0,0.0,0
Dlib HOG,seccam,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,1.0254855155944824,0.0,0,0.0,0
Dlib HOG,seccam,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,0,0,1,0.9134426116943359,0.0,0,0.0,0
Dlib HOG,seccam,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,0,0,1,0.8192667961120605,0.0,0,0.0,0
Dlib HOG,seccam,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,0,0,1,0.8903629779815674,0.0,0,0.0,0
Dlib HOG,seccam,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,1,0,0,0.8153748512268066,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,1,0,0,0.9370737075805664,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,1,0,0,1.0282258987426758,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,0,0,1,1.0001466274261475,0.0,0,0.0,0
Dlib HOG,seccam,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,0,0,1,0.8837335109710693,0.0,0,0.0,0
Dlib HOG,seccam,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,0.8462789058685303,0.0,0,0.0,0
Dlib HOG,seccam,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,0.9436163902282715,0.0,0,0.0,0
Dlib HOG,seccam,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,0,0,1,0.8730313777923584,0.0,0,0.0,0
Dlib HOG,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,1,0,0,0.9328851699829102,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,1,0,0,0.9154431819915771,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,0,0,1,0.8797943592071533,0.0,0,0.0,0
Dlib HOG,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,0.95208740234375,0.0,0,0.0,0
Dlib HOG,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,0.9166228771209717,0.0,0,0.0,0
Dlib HOG,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,0.9046661853790283,0.0,0,0.0,0
Dlib HOG,seccam,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,0,0,1,1.1557307243347168,0.0,0,0.0,0
Dlib HOG,seccam,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,1,1,1,0.910193920135498,0.0,0.0,0.0,0
Dlib HOG,seccam,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,0.9946491718292236,0.0,0,0.0,0
Dlib HOG,seccam,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,1,0,0,0.911003589630127,1.0,1.0,1.0,1.0
Dlib HOG,seccam,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,1,0,0,0.9359836578369141,1.0,1.0,1.0,1.0
Dlib HOG,seccam,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,0.9507906436920166,0.0,0,0.0,0
MTCNN,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,3.548844575881958,0.0,0,0.0,0
MTCNN,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,1,0,0,3.582359552383423,1.0,1.0,1.0,1.0
MTCNN,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,1,0,0,3.5525782108306885,1.0,1.0,1.0,1.0
MTCNN,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,1,0,0,3.569361925125122,1.0,1.0,1.0,1.0
MTCNN,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,1,0,0,3.554640531539917,1.0,1.0,1.0,1.0
MTCNN,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,1,0,0,13.879640340805054,1.0,1.0,1.0,1.0
