method,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy
Haar Cascade,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,1.3261651992797852,0.0
Haar Cascade,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,0,0,1,0.11350393295288086,0.0
Haar Cascade,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,1,0,0,0.1428673267364502,1.0
Haar Cascade,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,0,0,1,0.16457128524780273,0.0
Haar Cascade,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,0,0,1,0.13318443298339844,0.0
Haar Cascade,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,0,0,1,0.1274700164794922,0.0
Haar Cascade,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,0.10361242294311523,0.0
Haar Cascade,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,0,0,1,0.09382510185241699,0.0
Haar Cascade,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,0,0,1,0.08817768096923828,0.0
Haar Cascade,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,0,0,1,0.08802437782287598,0.0
Haar Cascade,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,1,0,0,0.0960395336151123,1.0
Haar Cascade,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,2,1,0,0.1521921157836914,1.0
Haar Cascade,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,1,0,0,0.13623547554016113,1.0
Haar Cascade,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,1,0,0,0.15249991416931152,1.0
Haar Cascade,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,0,0,1,0.1300365924835205,0.0
Haar Cascade,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,0.10394906997680664,0.0
Haar Cascade,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,0.10402202606201172,0.0
Haar Cascade,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,0,0,1,0.07963752746582031,0.0
Haar Cascade,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,1,0,0,0.08824014663696289,1.0
Haar Cascade,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,1,0,0,0.13663196563720703,1.0
