method,dataset,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy
Haar Cascade,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,0.7346241474151611,0.0
Haar Cascade,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,0,0,1,3.743720054626465,0.0
Haar Cascade,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,0,0,1,0.9413576126098633,0.0
Haar Cascade,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,0,0,1,0.947728157043457,0.0
Haar Cascade,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,0,0,1,0.9415700435638428,0.0
Haar Cascade,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,1,1,1,0.2443690299987793,0.0
Haar Cascade,seccam,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,2.836148262023926,0.0
Haar Cascade,seccam,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,0,0,1,2.8522884845733643,0.0
Haar Cascade,seccam,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,0,0,1,2.5940234661102295,0.0
Haar Cascade,seccam,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,0,0,1,2.2629168033599854,0.0
Haar Cascade,seccam,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,0,0,1,1.941403865814209,0.0
Haar Cascade,seccam,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,0,0,1,2.451296091079712,0.0
Haar Cascade,seccam,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,0,0,1,2.5567638874053955,0.0
Haar Cascade,seccam,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,0,0,1,2.792922258377075,0.0
Haar Cascade,seccam,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,0,0,1,2.727342128753662,0.0
Haar Cascade,seccam,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,2,2,1,0.46746826171875,0.0
Haar Cascade,seccam,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,2.209794282913208,0.0
Haar Cascade,seccam,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,0,0,1,2.418347120285034,0.0
Haar Cascade,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,0,0,1,2.332170248031616,0.0
Haar Cascade,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,0,0,1,2.649482250213623,0.0
Haar Cascade,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,0,0,1,2.4874942302703857,0.0
Haar Cascade,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,2.5711724758148193,0.0
Haar Cascade,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,2.135129690170288,0.0
Haar Cascade,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,2.1617350578308105,0.0
